City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
179,Halifax,44.6453,-63.5724,37.51,93,100,16.11,CA,overcast clouds
180,Nago,26.5881,127.9761,50.85,63,24,9.24,JP,few clouds
181,Sibolga,1.7427,98.7792,75.94,89,100,3.36,ID,overcast clouds
182,Naze,28.3667,129.4833,50.92,73,40,8.75,JP,scattered clouds
183,Bandarbeyla,9.4942,50.8122,77.13,75,22,24.61,SO,few clouds
184,Norilsk,69.3535,88.2027,-23.58,100,100,2.33,RU,overcast clouds
185,Guerrero Negro,27.9769,-114.0611,66.45,40,14,6.64,MX,few clouds
186,Hovd,48.0056,91.6419,0.88,86,100,2.86,MN,overcast clouds
187,Cherskiy,68.75,161.3,20.39,72,18,6.8,RU,few clouds
188,Bondo,3.8146,23.6866,77.76,51,90,1.72,CD,overcast clouds
189,Isangel,-19.55,169.2667,75.31,88,20,4.61,VU,few clouds
190,Henties Bay,-22.116,14.2845,62.47,92,0,6.62,NA,clear sky
191,Touros,-5.1989,-35.4608,82.15,65,0,13.29,BR,clear sky
192,Bengkulu,-3.8004,102.2655,75.97,87,100,4.65,ID,overcast clouds
193,Bend,44.0582,-121.3153,37.6,59,0,8.05,US,clear sky
194,Clyde River,70.4692,-68.5914,8.83,85,75,11.5,CA,broken clouds
195,Tautira,-17.7333,-149.15,78.66,77,97,9.73,PF,overcast clouds
196,Lebu,-37.6167,-73.65,62.62,63,99,11.07,CL,overcast clouds
197,Kyzyl-Suu,42.3414,78.0056,22.19,54,0,9.89,KG,clear sky
198,Papetoai,-17.4961,-149.8729,81.99,77,100,11.25,PF,overcast clouds
199,Winona,43.9666,-91.7668,12.4,79,100,5.75,US,overcast clouds
200,Ilheus,-14.7889,-39.0494,84.02,74,0,6.91,BR,clear sky
201,Ihosy,-22.4,46.1167,71.89,85,100,5.35,MG,moderate rain
202,Nantucket,41.2835,-70.0995,42.91,57,40,19.57,US,scattered clouds
203,Thunder Bay,48.4001,-89.3168,10.38,72,100,3.44,CA,overcast clouds
204,Yerbogachen,61.2767,108.0108,-11.13,97,100,6.13,RU,overcast clouds
205,Lavrentiya,65.5833,-171.0,15.15,78,79,5.84,RU,broken clouds
206,Hokitika,-42.7167,170.9667,59.5,77,100,3.8,NZ,overcast clouds
207,Kota,25.1833,75.8333,62.26,36,8,1.83,IN,clear sky
208,Pirgos,35.1167,25.7178,60.62,72,51,23.06,GR,broken clouds
209,Sebastian,35.1668,-94.2669,43.39,58,100,8.81,US,overcast clouds
210,Rapar,23.5667,70.6333,71.47,24,12,4.97,IN,few clouds
211,Bambous Virieux,-20.3428,57.7575,78.22,78,40,3.44,MU,scattered clouds
212,Altamira,-3.2033,-52.2064,89.69,70,40,8.05,BR,scattered clouds
213,Nur,52.6683,22.3221,22.39,84,100,14.18,PL,overcast clouds
214,Kirakira,-10.4544,161.9205,79.5,84,27,5.79,SB,scattered clouds
215,Souillac,-20.5167,57.5167,75.58,78,40,3.44,MU,scattered clouds
216,Buraydah,26.326,43.975,59.45,36,0,7.14,SA,clear sky
217,Chodziez,52.995,16.9198,30.4,96,100,13.85,PL,light snow
218,Nara,34.6851,135.8049,33.12,64,9,5.08,JP,clear sky
