City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
112,Escarcega,MX,88.93,18.6089,-90.7454,Ah Kim Pech
120,Mar Del Plata,AR,83.82,-38.0023,-57.5575,Nuevo Ostende
124,Vao,NC,76.41,-22.6667,167.4833,Nataiwatch
128,Ponta Do Sol,PT,72.01,32.6667,-17.1,Estalagem Ponta do Sol
130,Corbelia,BR,74.55,-24.7989,-53.3067,Peroza Restaurante Hotel
133,Kapit,MY,73.51,2.0167,112.9333,Haip
134,Dakar,SN,86.88,14.6937,-17.4441,翁记小吃
135,El Tigre,VE,81.64,8.8875,-64.2454,Hotel La Llovizna
143,Saint-Pierre,RE,78.48,-21.3393,55.4781,Tropic Hotel
146,Nouakchott,MR,89.53,18.0858,-15.9785,فندق أدرار
150,Port Blair,IN,80.64,11.6667,92.75,Andaman Ocean Breeze
151,Cayenne,GF,78.84,4.9333,-52.3333,Central Hôtel
152,Banjar,ID,75.61,-8.19,114.9675,Villa Banjar Beach
170,Acajutla,SV,86.29,13.5928,-89.8275,Hotel Lara
177,Chimoio,MZ,71.46,-19.1164,33.4833,Hotel Amirana
181,Sibolga,ID,75.94,1.7427,98.7792,Hotel Prima Indah
189,Isangel,VU,75.31,-19.55,169.2667,Tanna Lodge
191,Touros,BR,82.15,-5.1989,-35.4608,Pousada Atlântico
192,Bengkulu,ID,75.97,-3.8004,102.2655,Dena Hotel
198,Papetoai,PF,81.99,-17.4961,-149.8729,Ancien Intercontinental (fermé)
212,Altamira,BR,89.69,-3.2033,-52.2064,Hotel Vale do Xingu
215,Souillac,MU,75.58,-20.5167,57.5167,Hotel SkylineInn
219,Sambava,MG,76.73,-14.2667,50.1667,Royal Sava Hôtel
220,Niamey,NE,86.29,13.5137,2.1098,Redidence Croix du Sud
223,Birnin Kebbi,NG,76.12,12.4539,4.1975,Fab Hotel
228,Dunmore Town,BS,73.81,25.5,-76.65,The Landing Hotel & Restaurant
229,Alice Springs,AU,72.95,-23.7,133.8833,Aurora Alice Springs
231,Mahebourg,MU,78.26,-20.4081,57.7,Grand Bel Air
234,Lazaro Cardenas,MX,83.82,17.9583,-102.2,Hotel Sol del Pacífico
238,Linden,GY,87.06,6.0,-58.3,Watooka Guest House
